Provide a short code description of the following code:
 org.jsoup.Jsoup:44 `        return Parser.parse(html, "");`
org.jsoup.parser.Tag:288 `        createInline("TIME").setOptionalClosing();`
org.jsoup.parser.Tag:289 `        createInline("ACRONYM");`
org.jsoup.parser.Tag:290 `        createInline("MARK");`
org.jsoup.parser.Tag:293 `        createInline("RUBY");`
org.jsoup.parser.Tag:294 `        createInline("RT").setParent("RUBY").setExcludes("RT", "RP");`
org.jsoup.parser.Tag:295 `        createInline("RP").setParent("RUBY").setExcludes("RT", "RP");`
org.jsoup.parser.Tag:298 `        createInline("A").setOptionalClosing(); // cannot contain self`
org.jsoup.parser.Tag:299 `        createInline("IMG").setEmpty().setAncestor("BODY", "NOSCRIPT"); // noscript so an image can be in html->head->noscript`
org.jsoup.parser.Tag:300 `        createInline("BR").setEmpty();`
org.jsoup.parser.Tag:301 `        createInline("WBR").setEmpty();`
org.jsoup.parser.Tag:302 `        createInline("MAP"); // map is defined as inline, but can hold block (what?) or area. Seldom used so NBD.`
org.jsoup.parser.Tag:303 `        createInline("Q");`
org.jsoup.parser.Tag:304 `        createInline("SUB");`
org.jsoup.parser.Tag:305 `        createInline("SUP");`
org.jsoup.parser.Tag:306 `        createInline("BDO");`
org.jsoup.parser.Tag:307 `        createInline("IFRAME").setOptionalClosing();`
org.jsoup.parser.Tag:308 `        createInline("EMBED").setEmpty();`
org.jsoup.parser.Tag:315 `        createInline("SPAN").setCanContainBlock(); // spec is phrasing only, practise is block`
org.jsoup.parser.Tag:316 `        createBlock("P").setContainInlineOnly(); // emasculated block?`
org.jsoup.parser.Tag:317 `        createBlock("H1").setAncestor("BODY", "HGROUP").setExcludes("HGROUP", "H1", "H2", "H3", "H4", "H5", "H6");`
org.jsoup.parser.Tag:318 `        createBlock("H2").setAncestor("BODY", "HGROUP").setExcludes("HGROUP", "H1", "H2", "H3", "H4", "H5", "H6");`
org.jsoup.parser.Tag:319 `        createBlock("H3").setAncestor("BODY", "HGROUP").setExcludes("HGROUP", "H1", "H2", "H3", "H4", "H5", "H6");`
org.jsoup.parser.Tag:320 `        createBlock("H4").setAncestor("BODY", "HGROUP").setExcludes("HGROUP", "H1", "H2", "H3", "H4", "H5", "H6");`
org.jsoup.parser.Tag:321 `        createBlock("H5").setAncestor("BODY", "HGROUP").setExcludes("HGROUP", "H1", "H2", "H3", "H4", "H5", "H6");`
org.jsoup.parser.Tag:322 `        createBlock("H6").setAncestor("BODY", "HGROUP").setExcludes("HGROUP", "H1", "H2", "H3", "H4", "H5", "H6");`
org.jsoup.parser.Tag:323 `        createBlock("UL");`
org.jsoup.parser.Tag:324 `        createBlock("OL");`
org.jsoup.parser.Tag:325 `        createBlock("PRE").setContainInlineOnly().setPreserveWhitespace();`
org.jsoup.parser.Tag:326 `        createBlock("DIV");`
org.jsoup.parser.Tag:327 `        createBlock("BLOCKQUOTE");`
org.jsoup.parser.Tag:328 `        createBlock("HR").setEmpty();`
org.jsoup.parser.Tag:329 `        createBlock("ADDRESS").setContainInlineOnly();`
org.jsoup.parser.Tag:330 `        createBlock("FIGURE");`
org.jsoup.parser.Tag:331 `        createBlock("FIGCAPTION").setAncestor("FIGURE");`
org.jsoup.parser.Tag:334 `        createBlock("FORM").setOptionalClosing(); // can't contain self`
org.jsoup.parser.Tag:335 `        createInline("INPUT").setAncestor("FORM").setEmpty();`
org.jsoup.parser.Tag:336 `        createInline("SELECT").setAncestor("FORM"); // just contain optgroup or option`
org.jsoup.parser.Tag:337 `        createInline("TEXTAREA").setAncestor("FORM").setContainDataOnly();`
org.jsoup.parser.Tag:338 `        createInline("LABEL").setAncestor("FORM").setOptionalClosing(); // not self`
org.jsoup.parser.Tag:339 `        createInline("BUTTON").setAncestor("FORM"); // bunch of excludes not defined`
org.jsoup.parser.Tag:340 `        createInline("OPTGROUP").setParent("SELECT"); //  only contain option`
org.jsoup.parser.Tag:341 `        createInline("OPTION").setParent("SELECT", "OPTGROUP", "DATALIST").setOptionalClosing();`
org.jsoup.parser.Tag:342 `        createBlock("FIELDSET").setAncestor("FORM");`
org.jsoup.parser.Tag:343 `        createInline("LEGEND").setAncestor("FIELDSET");`
org.jsoup.parser.Tag:346 `        createInline("DATALIST");`
org.jsoup.parser.Tag:347 `        createInline("KEYGEN").setEmpty();`
org.jsoup.parser.Tag:348 `        createInline("OUTPUT");`
org.jsoup.parser.Tag:349 `        createInline("PROGRESS").setOptionalClosing();`
org.jsoup.parser.Tag:350 `        createInline("METER").setOptionalClosing();`
org.jsoup.parser.Tag:353 `        createInline("AREA").setAncestor("MAP").setEmpty(); // not an inline per-se`
org.jsoup.parser.Tag:354 `        createInline("PARAM").setParent("OBJECT").setEmpty();`
org.jsoup.parser.Tag:355 `        createBlock("INS"); // only within body`
org.jsoup.parser.Tag:356 `        createBlock("DEL"); // only within body`
org.jsoup.parser.Tag:360 `        createBlock("DL").setOptionalClosing(); // can't nest`
org.jsoup.parser.Tag:361 `        createBlock("DT").setAncestor("DL").setExcludes("DL", "DD").setOptionalClosing(); // only within DL.`
org.jsoup.parser.Tag:362 `        createBlock("DD").setAncestor("DL").setExcludes("DL", "DT").setOptionalClosing(); // only within DL.`
org.jsoup.parser.Tag:364 `        createBlock("LI").setAncestor("UL", "OL").setOptionalClosing(); // only within OL or UL.`
org.jsoup.parser.Tag:367 `        createBlock("TABLE").setOptionalClosing().setIgnoreEnd("BODY", "CAPTION", "COL", "COLGROUP", "HTML", "TBODY", "TD", "TFOO", "TH", "THEAD", "TR"); // specific list of only includes (tr, td, thead etc) not implemented`
org.jsoup.parser.Tag:368 `        createBlock("CAPTION").setParent("TABLE").setExcludes("THEAD", "TFOOT", "TBODY", "COLGROUP", "COL", "TR", "TH", "TD").setOptionalClosing().setIgnoreEnd("BODY", "COL", "COLGROUP", "HTML", "TBODY", "TD", "TFOOT", "TH", "THEAD", "TR");`
org.jsoup.parser.Tag:369 `        createBlock("THEAD").setParent("TABLE").setLimitChildren().setOptionalClosing().setIgnoreEnd("BODY", "CAPTION", "COL", "COLGROUP", "HTML", "TD", "TH", "TR"); // just TR`
org.jsoup.parser.Tag:370 `        createBlock("TFOOT").setParent("TABLE").setLimitChildren().setOptionalClosing().setIgnoreEnd("BODY", "CAPTION", "COL", "COLGROUP", "HTML", "TD", "TH", "TR"); // just TR`
org.jsoup.parser.Tag:371 `        createBlock("TBODY").setParent("TABLE").setLimitChildren().setOptionalClosing().setIgnoreEnd("BODY", "CAPTION", "COL", "COLGROUP", "HTML", "TD", "TH", "TR"); // optional / implicit open too. just TR`
org.jsoup.parser.Tag:372 `        createBlock("COLGROUP").setParent("TABLE").setLimitChildren().setOptionalClosing().setIgnoreEnd("COL"); // just COL`
org.jsoup.parser.Tag:373 `        createBlock("COL").setParent("COLGROUP").setEmpty();`
org.jsoup.parser.Tag:374 `        createBlock("TR").setParent("TBODY", "THEAD", "TFOOT", "TABLE").setLimitChildren().setOptionalClosing().setIgnoreEnd("BODY", "CAPTION", "COL", "COLGROUP", "HTML", "TD", "TH"); // just TH, TD`
org.jsoup.parser.Tag:375 `        createBlock("TH").setParent("TR").setExcludes("THEAD", "TFOOT", "TBODY", "COLGROUP", "COL", "TR", "TH", "TD").setOptionalClosing().setIgnoreEnd("BODY", "CAPTION", "COL", "COLGROUP", "HTML");`
org.jsoup.parser.Tag:376 `        createBlock("TD").setParent("TR").setExcludes("THEAD", "TFOOT", "TBODY", "COLGROUP", "COL", "TR", "TH", "TD").setOptionalClosing().setIgnoreEnd("BODY", "CAPTION", "COL", "COLGROUP", "HTML");`
org.jsoup.parser.Tag:379 `        createBlock("VIDEO").setExcludes("VIDEO", "AUDIO");`
org.jsoup.parser.Tag:380 `        createBlock("AUDIO").setExcludes("VIDEO", "AUDIO");`
org.jsoup.parser.Tag:381 `        createInline("SOURCE").setParent("VIDEO", "AUDIO").setEmpty();`
org.jsoup.parser.Tag:382 `        createInline("TRACK").setParent("VIDEO", "AUDIO").setEmpty();`
org.jsoup.parser.Tag:383 `        createBlock("CANVAS");`
org.jsoup.parser.Tag:386 `        createBlock("DETAILS");`
org.jsoup.parser.Tag:387 `        createInline("SUMMARY").setParent("DETAILS");`
org.jsoup.parser.Tag:388 `        createInline("COMMAND").setEmpty();`
org.jsoup.parser.Tag:389 `        createBlock("MENU");`
org.jsoup.parser.Tag:390 `        createInline("DEVICE").setEmpty();`
org.jsoup.parser.Tag:391 `    }`
org.jsoup.parser.Tag:394 `        return register(new Tag(tagName));`
org.jsoup.parser.Tag:398 `        Tag inline = new Tag(tagName);`
org.jsoup.parser.Tag:399 `        inline.isBlock = false;`
org.jsoup.parser.Tag:400 `        inline.canContainBlock = false;`
org.jsoup.parser.Tag:401 `        return register(inline);`
org.jsoup.parser.Tag:405 `        tag.setAncestor(defaultAncestor.tagName);`
org.jsoup.parser.Tag:406 `        tag.setKnownTag();`
org.jsoup.parser.Tag:407 `        synchronized (tags) {`
org.jsoup.parser.Tag:408 `            tags.put(tag.tagName, tag);`
org.jsoup.parser.Tag:409 `        }`
org.jsoup.parser.Tag:410 `        return tag;`
org.jsoup.parser.Tag:414 `        canContainBlock = true;`
org.jsoup.parser.Tag:415 `        return this;`
org.jsoup.parser.Tag:419 `        canContainBlock = false;`
org.jsoup.parser.Tag:420 `        canContainInline = true;`
org.jsoup.parser.Tag:421 `        return this;`
org.jsoup.parser.Tag:425 `        canContainBlock = false;`
org.jsoup.parser.Tag:426 `        canContainInline = false;`
org.jsoup.parser.Tag:427 `        preserveWhitespace = true;`
org.jsoup.parser.Tag:428 `        return this;`
org.jsoup.parser.Tag:432 `        canContainBlock = false;`
org.jsoup.parser.Tag:433 `        canContainInline = false;`
org.jsoup.parser.Tag:434 `        empty = true;`
org.jsoup.parser.Tag:435 `        return this;`
org.jsoup.parser.Tag:439 `        optionalClosing = true;`
org.jsoup.parser.Tag:440 `        return this;`
org.jsoup.parser.Tag:444 `        preserveWhitespace = true;`
org.jsoup.parser.Tag:445 `        return this;`
org.jsoup.parser.Tag:449 `        if (tagNames == null || tagNames.length == 0) {`
org.jsoup.parser.Tag:450 `            ancestors = Collections.emptyList();`
org.jsoup.parser.Tag:452 `            ancestors = new ArrayList<Tag>(tagNames.length);`
org.jsoup.parser.Tag:453 `            for (String name : tagNames) {`
org.jsoup.parser.Tag:454 `                ancestors.add(Tag.valueOf(name));`
org.jsoup.parser.Tag:457 `        return this;`
org.jsoup.parser.Tag:461 `        if (tagNames == null || tagNames.length == 0) {`
org.jsoup.parser.Tag:462 `            excludes = Collections.emptyList();`
org.jsoup.parser.Tag:464 `            excludes = new ArrayList<Tag>(tagNames.length);`
org.jsoup.parser.Tag:465 `            for (String name : tagNames) {`
org.jsoup.parser.Tag:466 `                excludes.add(Tag.valueOf(name));`
org.jsoup.parser.Tag:469 `        return this;`
org.jsoup.parser.Tag:473 `        if (tagNames == null || tagNames.length == 0) {`
org.jsoup.parser.Tag:476 `            ignoreEndTags = new ArrayList<Tag>(tagNames.length);`
org.jsoup.parser.Tag:477 `            for (String name : tagNames) {`
org.jsoup.parser.Tag:478 `                ignoreEndTags.add(Tag.valueOf(name));`
org.jsoup.parser.Tag:481 `        return this;`
org.jsoup.parser.Tag:485 `        directDescendant = true;`
org.jsoup.parser.Tag:486 `        setAncestor(tagNames);`
org.jsoup.parser.Tag:487 `        return this;`
org.jsoup.parser.Tag:491 `        limitChildren = true;`
org.jsoup.parser.Tag:492 `        return this;`
org.jsoup.parser.Tag:501 `        knownTag = true;`
org.jsoup.parser.Tag:502 `        return this;`
org.jsoup.parser.TokenQueue:12 `    private int pos = 0;`
org.jsoup.parser.TokenQueue:14 `    private static final Character ESC = '\\'; // escape char for chomp balanced.`
org.jsoup.parser.TokenQueue:20 `    public TokenQueue(String data) {`
org.jsoup.parser.TokenQueue:21 `        Validate.notNull(data);`
org.jsoup.parser.TokenQueue:22 `        queue = data;`
org.jsoup.parser.TokenQueue:23 `    }`
org.jsoup.parser.TokenQueue:30 `        return remainingLength() == 0;`
org.jsoup.parser.TokenQueue:34 `        return queue.length() - pos;`
org.jsoup.parser.TokenQueue:69 `        int count = seq.length();`
org.jsoup.parser.TokenQueue:70 `        if (count > remainingLength())`
org.jsoup.parser.TokenQueue:71 `            return false;`
org.jsoup.parser.TokenQueue:73 `        while (--count >= 0) {`
org.jsoup.parser.TokenQueue:74 `            if (Character.toLowerCase(seq.charAt(count)) != Character.toLowerCase(queue.charAt(pos+count)))`
org.jsoup.parser.TokenQueue:75 `                return false;`
org.jsoup.parser.TokenQueue:77 `        return true;`
org.jsoup.parser.TokenQueue:96 `        for (String s : seq) {`
org.jsoup.parser.TokenQueue:97 `            if (matches(s))`
org.jsoup.parser.TokenQueue:98 `                return true;`
org.jsoup.parser.TokenQueue:100 `        return false;`
org.jsoup.parser.TokenQueue:104 `        if (isEmpty())`
org.jsoup.parser.TokenQueue:107 `        for (char c: seq) {`
org.jsoup.parser.TokenQueue:108 `            if (queue.charAt(pos) == c)`
org.jsoup.parser.TokenQueue:111 `        return false;`
org.jsoup.parser.TokenQueue:116 `        return (remainingLength() >= 2 && queue.charAt(pos) == '<' && Character.isLetterOrDigit(queue.charAt(pos+1)));`
org.jsoup.parser.TokenQueue:126 `        if (matches(seq)) {`
org.jsoup.parser.TokenQueue:127 `            pos += seq.length();`
org.jsoup.parser.TokenQueue:128 `            return true;`
org.jsoup.parser.TokenQueue:130 `            return false;`
org.jsoup.parser.TokenQueue:139 `        return !isEmpty() && Character.isWhitespace(queue.charAt(pos));`
org.jsoup.parser.TokenQueue:147 `        return !isEmpty() && Character.isLetterOrDigit(queue.charAt(pos));`
org.jsoup.parser.TokenQueue:175 `        if (!matches(seq))`
org.jsoup.parser.TokenQueue:177 `        int len = seq.length();`
org.jsoup.parser.TokenQueue:178 `        if (len > remainingLength())`
org.jsoup.parser.TokenQueue:181 `        pos += len;`
org.jsoup.parser.TokenQueue:182 `    }`
org.jsoup.parser.TokenQueue:190 `        int offset = queue.indexOf(seq, pos);`
org.jsoup.parser.TokenQueue:191 `        if (offset != -1) {`
org.jsoup.parser.TokenQueue:192 `            String consumed = queue.substring(pos, offset);`
org.jsoup.parser.TokenQueue:193 `            pos += consumed.length();`
org.jsoup.parser.TokenQueue:194 `            return consumed;`
org.jsoup.parser.TokenQueue:248 `        String data = consumeTo(seq);`
org.jsoup.parser.TokenQueue:249 `        matchChomp(seq);`
org.jsoup.parser.TokenQueue:250 `        return data;`
org.jsoup.parser.TokenQueue:314 `        boolean seen = false;`
org.jsoup.parser.TokenQueue:315 `        while (matchesWhitespace()) {`
org.jsoup.parser.TokenQueue:316 `            pos++;`
org.jsoup.parser.TokenQueue:317 `            seen = true;`
org.jsoup.parser.TokenQueue:319 `        return seen;`
org.jsoup.parser.TokenQueue:339 `        int start = pos;`
org.jsoup.parser.TokenQueue:340 `        while (!isEmpty() && (matchesWord() || matchesAny(':', '_', '-')))`
org.jsoup.parser.TokenQueue:341 `            pos++;`
org.jsoup.parser.TokenQueue:343 `        return queue.substring(start, pos);`
org.jsoup.parser.TokenQueue:352 `        int start = pos;`
org.jsoup.parser.TokenQueue:353 `        while (!isEmpty() && (matchesWord() || matchesAny('|', '_', '-')))`
org.jsoup.parser.TokenQueue:354 `            pos++;`
org.jsoup.parser.TokenQueue:356 `        return queue.substring(start, pos);`
org.jsoup.parser.TokenQueue:377 `        int start = pos;`
org.jsoup.parser.TokenQueue:378 `        while (!isEmpty() && (matchesWord() || matchesAny('-', '_', ':')))`
org.jsoup.parser.TokenQueue:379 `            pos++;`
org.jsoup.parser.TokenQueue:381 `        return queue.substring(start, pos);`
org.jsoup.select.Collector:24 `        Elements elements = new Elements();`
org.jsoup.select.Collector:25 `        new NodeTraversor(new Accumulator(elements, eval)).traverse(root);`
org.jsoup.select.Collector:26 `        return elements;`
org.jsoup.select.Collector:33 `        Accumulator(Elements elements, Evaluator eval) {`
org.jsoup.select.Collector:34 `            this.elements = elements;`
org.jsoup.select.Collector:35 `            this.eval = eval;`
org.jsoup.select.Collector:36 `        }`
org.jsoup.select.Collector:39 `            if (node instanceof Element) {`
org.jsoup.select.Collector:40 `                Element el = (Element) node;`
org.jsoup.select.Collector:41 `                if (eval.matches(el))`
org.jsoup.select.Collector:42 `                    elements.add(el);`
org.jsoup.select.Collector:44 `        }`
org.jsoup.select.Collector:48 `        }`
org.jsoup.select.Elements:15 `    public Elements() {`
org.jsoup.select.Elements:16 `        contents = new ArrayList<Element>();`
org.jsoup.select.Elements:17 `    }`
org.jsoup.select.Elements:19 `    public Elements(Collection<Element> elements) {`
org.jsoup.select.Elements:20 `        contents = new ArrayList<Element>(elements);`
org.jsoup.select.Elements:21 `    }`
org.jsoup.select.Elements:394 `        return contents.isEmpty() ? null : contents.get(0);`
org.jsoup.select.Elements:406 `    public int size() {return contents.size();}`
org.jsoup.select.Elements:412 `    public Iterator<Element> iterator() {return contents.iterator();}`
org.jsoup.select.Elements:418 `    public boolean add(Element element) {return contents.add(element);}`
org.jsoup.select.NodeTraversor:11 `    public NodeTraversor(NodeVisitor visitor) {`
org.jsoup.select.NodeTraversor:12 `        this.visitor = visitor;`
org.jsoup.select.NodeTraversor:13 `    }`
org.jsoup.select.NodeTraversor:16 `        Node node = root;`
org.jsoup.select.NodeTraversor:17 `        int depth = 0;`
org.jsoup.select.NodeTraversor:19 `        while (node != null) {`
org.jsoup.select.NodeTraversor:20 `            visitor.head(node, depth);`
org.jsoup.select.NodeTraversor:21 `            if (node.childNodes().size() > 0) {`
org.jsoup.select.NodeTraversor:22 `                node = node.childNode(0);`
org.jsoup.select.NodeTraversor:23 `                depth++;`
org.jsoup.select.NodeTraversor:25 `                while (node.nextSibling() == null && depth > 0) {`
org.jsoup.select.NodeTraversor:26 `                    visitor.tail(node, depth);`
org.jsoup.select.NodeTraversor:27 `                    node = node.parent();`
org.jsoup.select.NodeTraversor:28 `                    depth--;`
org.jsoup.select.NodeTraversor:30 `                visitor.tail(node, depth);`
org.jsoup.select.NodeTraversor:31 `                if (node == root)`
org.jsoup.select.NodeTraversor:32 `                    break;`
org.jsoup.select.NodeTraversor:33 `                node = node.nextSibling();`
org.jsoup.select.NodeTraversor:36 `    }`
org.jsoup.select.Selector:58 `    private final static String[] combinators = {",", ">", "+", "~", " "};`
org.jsoup.select.Selector:64 `    private Selector(String query, Element root) {`
org.jsoup.select.Selector:65 `        Validate.notNull(query);`
org.jsoup.select.Selector:66 `        query = query.trim();`
org.jsoup.select.Selector:67 `        Validate.notEmpty(query);`
org.jsoup.select.Selector:68 `        Validate.notNull(root);`
org.jsoup.select.Selector:70 `        this.elements = new LinkedHashSet<Element>();`
org.jsoup.select.Selector:71 `        this.query = query;`
org.jsoup.select.Selector:72 `        this.root = root;`
org.jsoup.select.Selector:73 `        this.tq = new TokenQueue(query);`
org.jsoup.select.Selector:74 `    }`
org.jsoup.select.Selector:83 `        return new Selector(query, root).select();`
org.jsoup.select.Selector:104 `        tq.consumeWhitespace();`
org.jsoup.select.Selector:106 `        if (tq.matchesAny(combinators)) { // if starts with a combinator, use root as elements`
org.jsoup.select.Selector:110 `            addElements(findElements()); // chomp first element matcher off queue `
org.jsoup.select.Selector:113 `        while (!tq.isEmpty()) {`
org.jsoup.select.Selector:131 `        return new Elements(elements);`
org.jsoup.select.Selector:154 `        if (tq.matchChomp("#")) {`
org.jsoup.select.Selector:156 `        } else if (tq.matchChomp(".")) {`
org.jsoup.select.Selector:158 `        } else if (tq.matchesWord()) {`
org.jsoup.select.Selector:159 `            return byTag();`
org.jsoup.select.Selector:186 `        elements.addAll(add);`
org.jsoup.select.Selector:187 `    }`
org.jsoup.select.Selector:212 `        String tagName = tq.consumeElementSelector();`
org.jsoup.select.Selector:213 `        Validate.notEmpty(tagName);`
org.jsoup.select.Selector:216 `        if (tagName.contains("|"))`
org.jsoup.select.Selector:218 `        return root.getElementsByTag(tagName);`
 
The provided code is expected to pass these test cases:
 @Test public void parentlessToString(){
  Document doc=Jsoup.parse("<img src='foo'>");
  Element img=doc.select("img").first();
  assertEquals("\n<img src=\"foo\" />",img.toString());
  img.remove();
  assertEquals("<img src=\"foo\" />",img.toString());
}

